Title,Genres,IMDb,Directors,Country,Language
Burnout,Drama,7.3,['Nour Eddine Lakhmari'],"['Morocco', 'Norway']","['Arabic', 'French']"
Nature Unleashed: Fire,Action,3.6,['Allan A. Goldstein'],"['Canada', 'Romania', 'United Kingdom']",['English']
Nature Unleashed: Fire,Adventure,3.6,['Allan A. Goldstein'],"['Canada', 'Romania', 'United Kingdom']",['English']
Nature Unleashed: Fire,Drama,3.6,['Allan A. Goldstein'],"['Canada', 'Romania', 'United Kingdom']",['English']
Nature Unleashed: Fire,Thriller,3.6,['Allan A. Goldstein'],"['Canada', 'Romania', 'United Kingdom']",['English']
Motown Mafia: The Story of Eddie Jackson and Courtney Brown,Documentary,6.8,['Alan Bradley'],['United States'],['English']
Motown Mafia: The Story of Eddie Jackson and Courtney Brown,Biography,6.8,['Alan Bradley'],['United States'],['English']
Motown Mafia: The Story of Eddie Jackson and Courtney Brown,Crime,6.8,['Alan Bradley'],['United States'],['English']
Motown Mafia: The Story of Eddie Jackson and Courtney Brown,Family,6.8,['Alan Bradley'],['United States'],['English']
The Legend of Tillamook's Gold,Drama,5.0,['Jane Beaumont Hall'],['United States'],['English']
The Legend of Tillamook's Gold,Family,5.0,['Jane Beaumont Hall'],['United States'],['English']
The Savage Five,Action,6.5,['Cheh Chang'],['Hong Kong'],['Mandarin']
The Savage Five,Adventure,6.5,['Cheh Chang'],['Hong Kong'],['Mandarin']
The Savage Five,Drama,6.5,['Cheh Chang'],['Hong Kong'],['Mandarin']
Cafe Society,Comedy,5.7,['Woody Allen'],['United States'],"['English', 'Hebrew']"
Cafe Society,Drama,5.7,['Woody Allen'],['United States'],"['English', 'Hebrew']"
Cafe Society,Romance,5.7,['Woody Allen'],['United States'],"['English', 'Hebrew']"
Shopping for Fangs,Drama,5.8,"['Quentin Lee', 'Justin Lin']","['Canada', 'United States']",['English']
Weaverfish,Drama,4.1,['Harrison Wall'],['United Kingdom'],['English']
Weaverfish,Horror,4.1,['Harrison Wall'],['United Kingdom'],['English']
Weaverfish,Romance,4.1,['Harrison Wall'],['United Kingdom'],['English']
Weaverfish,Sci-Fi,4.1,['Harrison Wall'],['United Kingdom'],['English']
The Fields,Crime,4.4,['Ami Canaan Mann'],['United States'],['English']
The Fields,Drama,4.4,['Ami Canaan Mann'],['United States'],['English']
The Fields,History,4.4,['Ami Canaan Mann'],['United States'],['English']
The Fields,Thriller,4.4,['Ami Canaan Mann'],['United States'],['English']
Halloween Horror Tales,Horror,1.7,['Jeff Kirkendall'],['United States'],['English']
Halloween Horror Tales,Thriller,1.7,['Jeff Kirkendall'],['United States'],['English']
The Frontiersmen,Action,6.5,['Lesley Selander'],['United States'],['English']
The Frontiersmen,Adventure,6.5,['Lesley Selander'],['United States'],['English']
