Title,Country,IMDb
Mirage,Spain,7.4
Everybody's Everything,United States,7.4
Indiana Jones and the Kingdom of the Crystal Skull,United States,6.1
The Guernsey Literary & Potato Peel Pie Society,United Kingdom,7.4
The Guernsey Literary & Potato Peel Pie Society,France,7.4
The Guernsey Literary & Potato Peel Pie Society,United States,7.4
I Don't Feel at Home in This World Anymore,United States,6.9
The Endless,United States,6.5
Julie & Julia,United States,7.0
The Game Changers,United States,7.9
Under the Shadow,United Kingdom,6.9
Under the Shadow,Jordan,6.9
Under the Shadow,Qatar,6.9
Under the Shadow,Iran,6.9
Angel Has Fallen,United States,6.4
Kon-Tiki,United Kingdom,7.2
Kon-Tiki,Norway,7.2
Kon-Tiki,Denmark,7.2
Kon-Tiki,Germany,7.2
Kon-Tiki,Sweden,7.2
Mary Poppins Returns,United States,6.7
Mary Poppins Returns,United Kingdom,6.7
Kajaki,United Kingdom,7.1
The Fear of 13,United Kingdom,7.7
The Night Comes for Us,Indonesia,7.0
The Night Comes for Us,United States,7.0
Blood Father,France,6.4
Stree,India,7.6
American Factory,United States,7.4
Code 8,Canada,6.1
Salt,United States,6.4
The Hundred-Foot Journey,United States,7.3
The Hundred-Foot Journey,India,7.3
The Hundred-Foot Journey,United Arab Emirates,7.3
The Distinguished Citizen,Argentina,7.5
The Distinguished Citizen,Spain,7.5
Scooby-Doo on Zombie Island,United States,7.8
Chasing Coral,United States,8.1
The End of the Tour,United States,7.3
The One I Love,United States,7.1
Underworld,United States,7.0
Underworld,United Kingdom,7.0
Underworld,Germany,7.0
Underworld,Hungary,7.0
The Death of Mr. Lazarescu,Romania,7.9
Madagascar: Escape 2 Africa,United States,6.6
The Wolf's Call,France,6.9
What Happened to Monday,United Kingdom,6.9
What Happened to Monday,France,6.9
What Happened to Monday,United States,6.9
What Happened to Monday,Belgium,6.9
The Willoughbys,Canada,6.4
The Willoughbys,United States,6.4
The Willoughbys,United Kingdom,6.4
The White Helmets,United Kingdom,7.5
Suburra,Italy,7.4
The Matrix Revolutions,United States,6.8
Richard Pryor: Live in Concert,United States,8.2
Austin Powers: The Spy Who Shagged Me,United States,6.6
Get Him to the Greek,United States,6.4
Slow West,United Kingdom,6.9
Slow West,New Zealand,6.9
The Meyerowitz Stories (New and Selected),United States,6.9
The Battered Bastards of Baseball,United States,8.0
The Perfection,United States,6.1
Ip Man 3,China,7.1
Ip Man 3,Hong Kong,7.1
Sinister,United States,6.8
Sinister,United Kingdom,6.8
Sinister,Canada,6.8
Rush: Beyond the Lighted Stage,Canada,8.4
20 Feet from Stardom,United States,7.4
The Stanford Prison Experiment,United States,6.9
My Week with Marilyn,United Kingdom,7.0
My Week with Marilyn,United States,7.0
Catfish,United States,7.1
Secret Superstar,India,7.9
Private Life,United States,7.2
Jarhead,United States,7.0
Jarhead,United Kingdom,7.0
Jarhead,Germany,7.0
Yes Man,United States,6.8
Yes Man,United Kingdom,6.8
For the Love of Spock,Canada,7.6
For the Love of Spock,United States,7.6
Goon,United States,6.8
Goon,Canada,6.8
Ace Ventura: Pet Detective,United States,6.9
Inequality for All,United States,8.0
Olympus Has Fallen,United States,6.5
Dave Chappelle: Sticks & Stones,United States,8.5
John Mulaney: Kid Gorgeous at Radio City,United States,7.9
La Bamba,United States,6.9
Public Enemies,United States,7.0
Public Enemies,Japan,7.0
Supersonic,United Kingdom,7.9
The Edge of Democracy,Brazil,7.1
The Polar Express,United States,6.6
Under the Skin,Switzerland,6.3
Under the Skin,United Kingdom,6.3
Crip Camp: A Disability Revolution,United States,7.8
Tell Me Who I Am,United Kingdom,7.6
Hey Arnold! The Jungle Movie,United States,7.6
Hey Arnold! The Jungle Movie,South Korea,7.6
Hey Arnold! The Jungle Movie,Japan,7.6
Zack and Miri Make a Porno,United States,6.5
The Score,Germany,6.8
The Score,Canada,6.8
The Score,United States,6.8
Hamburger Hill,United States,6.7
9,United States,7.1
Undefeated,United States,7.7
Team Foxcatcher,United States,7.3
A Shaun the Sheep Movie: Farmageddon,United Kingdom,6.9
A Shaun the Sheep Movie: Farmageddon,France,6.9
A Shaun the Sheep Movie: Farmageddon,Belgium,6.9
A Shaun the Sheep Movie: Farmageddon,United States,6.9
April and the Extraordinary World,France,7.3
April and the Extraordinary World,Canada,7.3
April and the Extraordinary World,Belgium,7.3
The Highwaymen,United States,6.9
Legend,United Kingdom,6.9
Legend,France,6.9
Legend,United States,6.9
Boy & the World,Brazil,7.6
Creep 2,United States,6.4
Terminator 3: Rise of the Machines,United States,6.3
Terminator 3: Rise of the Machines,Germany,6.3
Terminator 3: Rise of the Machines,United Kingdom,6.3
Unrest,United States,7.7
Guru,India,7.7
Louis C.K. 2017,United States,7.6
A Twelve-Year Night,Uruguay,7.6
A Twelve-Year Night,Spain,7.6
A Twelve-Year Night,Argentina,7.6
A Twelve-Year Night,France,7.6
A Twelve-Year Night,Germany,7.6
Happy as Lazzaro,Italy,7.6
Happy as Lazzaro,Switzerland,7.6
Happy as Lazzaro,France,7.6
Happy as Lazzaro,Germany,7.6
"What Happened, Miss Simone?",United States,7.6
Blue Jay,United States,7.3
1922,United States,6.3
Hancock,United States,6.4
Circus of Books,United States,7.1
"Hail, Caesar!",United States,6.3
"Hail, Caesar!",United Kingdom,6.3
"Hail, Caesar!",Japan,6.3
The Pixar Story,United States,7.8
Child's Play,Canada,6.6
Child's Play,United States,6.6
Springsteen On Broadway,United States,8.5
The Angry Birds Movie 2,Finland,6.4
The Angry Birds Movie 2,United States,6.4
Obvious Child,United States,6.8
Awe!,India,7.8
American Honey,United Kingdom,7.0
American Honey,United States,7.0
Last Breath,United Kingdom,7.7
Last Breath,Belgium,7.7
Last Breath,Sweden,7.7
Udta Punjab,India,7.8
Den of Thieves,United States,7.0
Wadjda,Saudi Arabia,7.5
Wadjda,Netherlands,7.5
Wadjda,Germany,7.5
Wadjda,Jordan,7.5
Wadjda,United Arab Emirates,7.5
Wadjda,United States,7.5
The Spiderwick Chronicles,United States,6.5
The Christmas Chronicles,United States,7.1
Turbo,United States,6.4
My Girl,United States,6.9
22-Jul,Norway,6.8
22-Jul,Iceland,6.8
22-Jul,United States,6.8
Adam Sandler: 100% Fresh,United States,7.6
Remember,Canada,7.5
Remember,Mexico,7.5
Remember,Germany,7.5
Remember,South Africa,7.5
Triple Frontier,United States,6.4
Bombshell: The Hedy Lamarr Story,United States,7.4
Paddleton,United States,7.2
Bad Boys II,United States,6.6
Sour Grapes,United States,7.3
Betting on Zero,United States,7.2
Delhi Belly,India,7.5
Being Elmo: A Puppeteer's Journey,United States,7.6
Williams,United Kingdom,7.6
It Comes at Night,United States,6.2
Cuba and the Cameraman,United States,8.2
Creep,United States,6.3
The Interview,United States,6.5
Bobby Robson: More Than a Manager,United Kingdom,8.2
Outbreak,United States,6.6
Black Snake Moan,United States,6.9
Bright,United States,6.3
Cargo,Australia,6.3
Even the Rain,Spain,7.4
Even the Rain,Mexico,7.4
Even the Rain,France,7.4
Candyman,United States,6.6
Candyman,United Kingdom,6.6
Mary and the Witch's Flower,Japan,6.8
Calibre,United Kingdom,6.7
First They Killed My Father,Cambodia,7.2
First They Killed My Father,United States,7.2
Us and Them,China,7.3
Up in Smoke,United States,7.0
Final Destination,United States,6.7
Kill the Messenger,United States,6.9
Operation Odessa,unknown,7.8
The American Meme,United States,7.3
Outlaw King,United Kingdom,6.9
Outlaw King,United States,6.9
21,United States,6.8
Holding the Man,Australia,7.4
Krisha,United States,7.2
De Palma,United States,7.4
Dear Ex,Taiwan,7.4
Tomorrow Never Dies,United Kingdom,6.5
Tomorrow Never Dies,United States,6.5
Veronica,United States,6.2
The Cakemaker,Israel,7.2
The Cakemaker,Germany,7.2
Instructions Not Included,Mexico,7.5
Bleed for This,United States,6.8
Girl,Belgium,7.2
Girl,Netherlands,7.2
The Naked Gun 2½: The Smell of Fear,United States,6.9
Bareilly's Barfi,India,7.5
The Sky Is Pink,India,7.5
The Sky Is Pink,United Kingdom,7.5
The Sky Is Pink,Canada,7.5
The Sky Is Pink,United States,7.5
Chitty Chitty Bang Bang,United Kingdom,6.9
Chitty Chitty Bang Bang,United States,6.9
A Wednesday!,India,8.1
Jodhaa Akbar,India,7.6
Handsome Devil,Ireland,7.1
"Love, Rosie",Germany,7.2
"Love, Rosie",United Kingdom,7.2
Oceans,France,7.8
Oceans,Switzerland,7.8
Oceans,Spain,7.8
Oceans,United States,7.8
Oceans,United Arab Emirates,7.8
The Ritual,United Kingdom,6.3
The Ritual,Canada,6.3
Super Dark Times,United States,6.6
Tallulah,United States,6.7
Other People,United States,6.8
Alpha Dog,Germany,6.9
Alpha Dog,United States,6.9
Spectral,United States,6.3
Spectral,Hungary,6.3
The Babysitter,United States,6.3
"Extremely Wicked, Shockingly Evil and Vile",United States,6.6
Heneral Luna,Philippines,7.6
Click,United States,6.4
The Duchess,United Kingdom,6.9
The Duchess,Italy,6.9
The Duchess,France,6.9
The Duchess,United States,6.9
The Last Man on the Moon,United Kingdom,7.4
The 24 Hour War,United States,7.2
Mune: Guardian of the Moon,France,7.2
The Devil We Know,United States,7.7
How the Grinch Stole Christmas,United States,6.2
How the Grinch Stole Christmas,Germany,6.2
LA Originals,United States,7.3
LA Originals,Argentina,7.3
Whisky,Uruguay,7.1
Whisky,Argentina,7.1
Whisky,Germany,7.1
Whisky,Spain,7.1
The Sapphires,Australia,7.0
Bloodsport,United States,6.8
Tinker Bell and the Legend of the NeverBeast,United States,7.3
Get Me Roger Stone,United States,7.4
Alex Strangelove,United States,6.3
She's Out of My League,United States,6.4
Sarah's Key,France,7.5
My Happy Family,Georgia,7.4
My Happy Family,Germany,7.4
My Happy Family,France,7.4
Killing Them Softly,United States,6.2
Ittefaq,India,7.2
6 Underground,United States,6.1
The Accountant of Auschwitz,Canada,7.3
Echo in the Canyon,United States,7.0
Hold the Dark,United States,5.6
Suffragette,United Kingdom,6.9
Suffragette,France,6.9
The Siege of Jadotville,Ireland,7.2
The Siege of Jadotville,South Africa,7.2
Terminator Salvation,United States,6.5
Terminator Salvation,Germany,6.5
Terminator Salvation,United Kingdom,6.5
Terminator Salvation,Italy,6.5
Hotel Transylvania 3: Summer Vacation,United States,6.3
Hotel Transylvania 3: Summer Vacation,South Korea,6.3
Filmworker,United States,7.4
Our Souls at Night,United States,6.9
Mine 9,United States,6.7
Everybody Knows,Spain,6.9
Everybody Knows,France,6.9
Everybody Knows,Italy,6.9
Everybody Knows,Argentina,6.9
Everybody Knows,Germany,6.9
Retribution,United Kingdom,6.6
Ice Guardians,Canada,7.5
Ice Guardians,Ireland,7.5
Ice Guardians,United States,7.5
Tinker Bell and the Pirate Fairy,United States,6.6
The World Is Not Enough,United Kingdom,6.4
The World Is Not Enough,United States,6.4
Suite Française,United Kingdom,7.0
Suite Française,France,7.0
Suite Française,Canada,7.0
Suite Française,Belgium,7.0
Suite Française,United States,7.0
Period. End of Sentence.,United States,7.4
Beyond the Mat,United States,7.6
Next Gen,China,6.6
Next Gen,Canada,6.6
Next Gen,United States,6.6
Cam,United States,5.9
Divines,France,7.4
Divines,Qatar,7.4
Shirkers,United States,7.4
Shirkers,United Kingdom,7.4
Underworld: Evolution,United States,6.7
Underworld: Evolution,Canada,6.7
Om Shanti Om,India,6.7
How to Change the World,Canada,7.6
How to Change the World,United Kingdom,7.6
How to Change the World,Netherlands,7.6
Spitfire,United States,7.5
You Are My Sunday,India,7.7
Dear Zindagi,India,7.6
Uncorked,United States,6.1
The Water Diviner,Australia,7.0
The Water Diviner,United States,7.0
Gaga: Five Foot Two,United States,7.0
Austin Powers in Goldmember,United States,6.2
He Never Died,Canada,6.4
Black Sea,United Kingdom,6.4
Black Sea,Russia,6.4
Black Sea,United States,6.4
Ali's Wedding,Australia,6.9
Event Horizon,United Kingdom,6.7
Event Horizon,United States,6.7
Mississippi Grind,United States,6.4
They'll Love Me When I'm Dead,United States,7.4
Kai Po Che!,India,7.6
Badla,India,7.9
Young Adult,United States,6.2
ZZ Top: That Little Ol' Band From Texas,United Kingdom,7.4
ZZ Top: That Little Ol' Band From Texas,Canada,7.4
ZZ Top: That Little Ol' Band From Texas,United States,7.4
Scary Movie,United States,6.2
The Dirt,United States,7.0
Killer Klowns from Outer Space,United States,6.2
The Exception,United Kingdom,6.8
The Exception,United States,6.8
Spenser Confidential,United States,6.2
Wheelman,United States,6.4
While We're Young,United States,6.3
Die Another Day,United Kingdom,6.1
Die Another Day,United States,6.1
The Grandmaster,Hong Kong,6.6
The Grandmaster,China,6.6
Bathtubs Over Broadway,United States,7.5
Cadillac Records,United States,7.0
I am Divine,United States,7.6
King Jack,United States,7.0
The Runaways,United States,6.5
2012,United States,5.8
The Half of It,United States,7.0
Tigertail,United States,6.4
Sleeping with Other People,United States,6.5
What Lies Beneath,United States,6.6
Fractured,United States,6.4
Master Z: Ip Man Legacy,Hong Kong,6.5
Master Z: Ip Man Legacy,China,6.5
Neruda,Chile,6.9
Neruda,Argentina,6.9
Neruda,France,6.9
Neruda,Spain,6.9
Neruda,United States,6.9
One Day,United States,7.0
One Day,United Kingdom,7.0
Just Friends,Germany,6.2
Just Friends,United States,6.2
Just Friends,Canada,6.2
Aśoka,United States,6.5
Harold and Lillian: A Hollywood Love Story,United States,8.0
The Grinch,United States,6.3
The Grinch,Germany,6.3
Qarib Qarib Singlle,India,7.0
Beasts of No Nation,United States,7.7
Time Trap,United States,6.5
Final Destination 2,United States,6.2
Final Destination 2,Canada,6.2
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,United States,7.1
Dance Academy: The Movie,Germany,7.0
Dance Academy: The Movie,Australia,7.0
White Fang,United States,6.9
