Title,Directors,IMDb
The Line King: The Al Hirschfeld Story,Susan Warms Dryfoos,7.1
Summer of '67,Sharon Wilharm,4.9
Erasing Eden,Beth Dewey,5.0
Warrior Pride,Janaya Black,6.8
Shield for Murder,Howard W. Koch,6.9
Shield for Murder,Edmond O'Brien,6.9
The Big Brass Ring,George Hickenlooper,5.3
I am from Titov Veles,Teona Strugar Mitevska,6.2
Appointment in Tokyo,Jack Hively,6.8
Collider,Edgar Wright,3.5
Fall City,Nathan D. Lee,5.3
The Zero Boys,Nico Mastorakis,5.1
In Old California,William C. McGann,6.4
The Tenants,Danny Green,5.2
The Death of Richie,Paul Wendkos,7.0
The Sleeping Tiger,Joseph Losey,6.5
DSKNECTD,Dominic H. White,7.2
Absence,Jimmy Loweree,4.1
Caroline?,Joseph Sargent,7.3
Quantum Apocalypse,Justin Jones,3.0
Morgan Murphy: Irish Goodbye,Jay Chapman,6.7
The Fighting Fists Of Shanghai Joe,Mario Caiano,5.8
The Last Days of Patton,Delbert Mann,6.3
The Living Sea,Greg MacGillivray,7.2
The Killer Reserved Nine Seats,Giuseppe Bennati,5.8
The Boogey Man,Ulli Lommel,4.6
Card Subject To Change,Tim Disbrow,6.6
Billy Boy,Bradley Buecker,4.4
Quick Gun Murugan,Shashanka Ghosh,5.9
Shooting Gallery,Keoni Waxman,5.3
Chernobyl's Café,Mike Baudoncq,6.7
Sex and Consequences,unknown,4.6
Slightly Honorable,Tay Garnett,6.1
Bobbie Jo and the Outlaw,Mark L. Lester,5.3
Don't Look in the Basement,S.F. Brownrigg,5.1
Final Exam,Jimmy Huston,4.7
Jogwa - The Awakening,Joseph Jones,8.3
Phantom of Chinatown,Phil Rosen,6.2
Concrete Blondes,Nicholas Kalikow,4.8
Richard Pryor: Icon,unknown,6.5
Some of My Best Friends Are,Mervyn Nelson,5.8
Butterflies,Tolga Karaçelik,8.4
Killer Fish,Antonio Margheriti,4.1
Thalaivaa,A.L. Vijay,6.1
Messenger of Death,J. Lee Thompson,5.6
Capturing Reality,Pepita Ferrari,6.8
Nintendo Quest,Robert McCallum,5.6
Freak,Jackie Kong,8.2
Have Sword Will Travel,Bobby Lento,7.1
730,Tru,7.2
Alena,Daniel di Grado,5.5
Christmas Miracle,Terry Ingram,5.4
The Prince and the Pauper,Don Chaffey,6.5
Invasion on Chestnut Ridge,Seth Breedlove,5.4
The Coconut Revolution,Dom Rotheroe,8.3
The Sacred Science,Nicholas J. Polizzi,7.1
A Date with Miss Fortune,John L'Ecuyer,5.3
The Runaway,unknown,7.3
The North Star,Lewis Milestone,5.9
Abel's Island,Michael Sporn,8.0
The Turn of the Screw,Jack Clayton,6.2
Delightfully Dangerous,Arthur Lubin,6.0
Merlin and the Dragons,Horseman Cao,6.3
Merlin and the Dragons,Dennis Woodyard,6.3
Merlin and the Dragons,Hu Yihong,6.3
An Ox's Tale: The John Entwistle Story,Glenn Aveni,7.5
An Ox's Tale: The John Entwistle Story,Steve Luongo,7.5
An Ox's Tale: The John Entwistle Story,Jack Edward Sawyers,7.5
Cry of the Banshee,Gordon Hessler,5.7
A Violent Life,Thierry de Peretti,6.0
Beast of Burden,Jesper Ganslandt,3.6
Mother Krampus,Eddie Lengyel,4.5
Nightlight,Scott Beck,4.4
Nightlight,Bryan Woods,4.4
Beat Girl,Edmond T. Gréville,6.0
American Virgin,Clare Kilner,4.3
Classic Albums: Phil Collins - Face Value,Jeremy Marre,7.1
Beyond the Summits,Rémy Tezier,8.5
Hidden Love,Alessandro Capone,5.3
Superpower,Chan Wei Lin,7.1
The Great Flamarion,Anthony Mann,6.6
Ghosts of Darkness,David Ryan Keith,5.0
Dog Day,Sidney Lumet,5.7
Jack Reed: Death and Vengeance,Brian Dennehy,5.8
Moomins and the Comet Chase,Maria Lindberg,6.1
Dead Before Dawn,April Mullen,4.7
Mighty Uke,Tony Coleman,7.7
Mr. Fix It,Darin Ferriola,5.5
Gold Star,Victoria Negri,5.6
Savannah Sunrise,Randall Stevens,5.8
Dependent's Day,Michael David Lynch,7.1
Allies,Robert Zemeckis,5.1
Los Angeles Overnight,Michael Chrisoulakis,6.0
Adventure Scouts,Jim Fitzpatrick,5.9
Monsoon,Hong Khaou,4.1
Richard Jeni: A Big Steaming Pile of Me,Steven J. Santos,7.5
Forgotten Plague,Nicole Castillo,7.9
Forgotten Plague,Ryan Prior,7.9
Blood & Oil,unknown,5.1
12 Days of Christmas Eve,Eddie Goines,5.6
Mr. Moto's Last Warning,Norman Foster,6.5
Genghis: The Legend of the Ten,Zolbayar Dorj,5.7
Genghis: The Legend of the Ten,U. Shagdarsuren,5.7
Stealing Cars,Bradley Kaplan,5.7
A Bloody Aria,Shin-yeon Won,6.5
Bengal Tiger,Sampath Nandi,5.1
Run Baby Run,Joshiy,8.6
Kaatru Veliyidai,Mani Ratnam,5.9
Spy School,Mark Blutman,4.5
Tubelight,Kabir Khan,4.0
Devdas,Sanjay Leela Bhansali,8.0
Hell Bound,William J. Hole Jr.,6.4
A Year and Change,Stephen Suettinger,6.2
2eleven,Derek Scott,6.2
Pretty Outrageous,Elizabeth Blake-Thomas,6.1
City of Gold,Laura Gabbert,7.3
Kayal,Prabu Solomon,6.4
The Village of No Return,Yu-Hsun Chen,6.2
Aan,Madhur Bhandarkar,7.1
Soldiers Of The Damned,Mark Nuttall,3.7
Smitty,David Mickey Evans,5.3
Shogun's Ninja,Norifumi Suzuki,6.3
First Response,Philippe Gagnon,5.7
Mad Dog Morgan,Philippe Mora,6.1
Homebound,Fanny Veliz Grande,7.8
Morris County,Matthew Garrett,6.7
The Ungodly,Thomas Dunn,5.6
Parvaneh,Talkhon Hamzavi,6.7
Hell Commandos,José Luis Merino,5.2
Destiny Turns on the Radio,Jack Baran,4.5
Tokyo Raiders,Jingle Ma,5.9
Return to Paradise,Joseph Ruben,6.1
War of the Dead,Marko Mäkilaakso,4.1
Time Kid,Will Meugniot,5.9
Time Kid,Pam Carter,5.9
The Forgiven,Roland Joffé,5.9
Tc Gn: Take Care Good Night,Girish Joshi,7.5
Taking Earth,Grant Humphreys,2.6
The Liquidator,Jack Cardiff,5.6
Daughter of Dr. Jekyll,Edgar G. Ulmer,5.5
A Haunting at Silver Falls,Brett Donowho,4.8
Dirty Driving: Thundercars Of Indiana,Jon Alpert,7.2
King of the Zombies,Jean Yarbrough,5.2
End of the Road: How Money Became Worthless,Tim Delmastro,7.2
Keys to Tulsa,Leslie Greif,5.1
Manila,Lino Brocka,6.1
Afterlife,Agnieszka Wojtowicz-Vosloo,5.902751
Teen Wolf Too,Christopher Leitch,3.4
The Sitter,David Gordon Green,4.9
Christmas Solo,Christie Will Wolf,5.8
Fart: A Documentary,Troy Hale,4.4
Hate Story IV,Vishal Pandya,3.3
For the Love of George,Maria Burton,5.6
A Fall from Freedom,unknown,8.2
Hot Cars,Don McDougall,6.5
Frauds,Stephan Elliott,6.0
Bob Saget: That Ain't Right,Beth McCarthy-Miller,6.2
Chatterbox!,Tom DeSimone,5.0
A Rising Tide,Ben Hickernell,5.6
C. H. Spurgeon: The People's Preacher,Crawford Telfer,8.8
Daisy,David Leitch,8.3
All I Need,Dylan K. Narang,4.1
White Mile,Robert Butler,5.9
The Courage to Love,Kari Skogland,6.2
The House of Exorcism,Mario Bava,4.7
The House of Exorcism,Alfredo Leone,4.7
Gangster Land,Timothy Woodward Jr.,4.4
As You Like It,Kenneth Branagh,4.6
The Mentor,Moez Solis,5.0
Hippie Masala - Forever in India,Ulrich Grossenbacher,6.4
Hippie Masala - Forever in India,Damaris Lüthi,6.4
Mariah Carey's All I Want for Christmas Is You,Guy Vasilovich,5.3
A Life at Stake,Paul Guilfoyle,5.8
Brides of Blood,Gerardo de Leon,5.1
Brides of Blood,Eddie Romero,5.1
The Six Wives of Henry Lefay,Howard Michael Gould,5.1
American Meltdown,Jeremiah S. Chechik,5.3
Ultrasuede: In Search of Halston,Whitney Smith,5.3
Little Girl,Sébastien Lifshitz,7.1
Queen of Spades,Svyatoslav Podgaevskiy,6.1
Tricks of the Trade,Jack Bender,5.9
Laser Mission,BJ Davis,3.5
Hardflip,Johnny Remo,5.5
Among Us,Johan Brisinger,4.2
Westinghouse,Mark Bussler,7.5
Dad's in Heaven With Nixon,Tom Murray,7.5
"Bruce Lee: The Man, The Myth",See-Yuen Ng,5.2
New Hope,Rodney Ray,5.8
Time Toys,Mark Rosman,4.5
The Christmas Dragon,John Lyde,4.7
Lonely Boy,Dale Fabrigar,6.8
Beta,Indra Kumar,6.3
The Sighting,David Blair,4.3
The Sighting,Adam Pitman,4.3
The arrival of Wang,Antonio Manetti,5.8
The arrival of Wang,Marco Manetti,5.8
Violets Are Blue,Jack Fisk,5.9
Baazi,Ashutosh Gowariker,6.6
108 Stitches,David Rountree,4.3
Humraaz,Abbas Alibhai Burmawalla,6.3
Humraaz,Mastan Alibhai Burmawalla,6.3
Nowhere Safe,Brian Brough,5.6
Hopalong Cassidy Returns,Nate Watt,7.2
The Picture of Dorian Gray,Albert Lewin,6.4
A Million to Juan,Paul Rodriguez,5.6
Periods.,Victor Quinaz,7.3
Scorpion,unknown,5.4
Black & White: The Dawn of Justice,Yueh-Hsun Tsai,5.7
Devil in the Dark,Tim Brown,4.7
My Dad's a Soccer Mom,Randall Stevens,5.3
Angel Dog,Robin Conly,5.8
Wrong Turn at Tahoe,Franck Khalfoun,6.1
Sons of Cuba,Andrew Lang,7.6
Vitality,Oliver Guy-Watkins,7.3
Adolf Hitler: Pure Evil,Philip Gardiner,8.3
John Apple Jack,Monika Mitchell,5.6
Innocents in Paris,Gordon Parry,5.9
Mixed Company,Melville Shavelson,6.0
Earthrise,Glenn Payne,3.6
Full of Grace,Andrew Hyatt,5.7
Eating Alabama,Andrew Grace,7.6
Our Gang Follies of 1936,Gus Meins,7.3
Fugitive Mind,Fred Olen Ray,4.5
New Fist of Fury,Wei Lo,5.6
Loved Up,Peter Cattaneo,6.8
Abbott and Costello Christmas Show,unknown,5.902751
Adam Ferrara: Funny As Hell,Milton Lage,7.3
Ass Backwards,Chris Nelson,4.2
Lost Fare,Bruce Logan,4.6
Out in the Open,Benito Zambrano,7.3
American Experience: Rachel Carson,Michelle Ferrari,7.6
Terrortory 2,Kevin Kangas,4.5
Gun of the Black Sun,Jeff Burr,6.1
Michael Ian Black: Noted Expert,Ryan Polito,6.3
Instant Death,Ara Paiaya,4.1
For One Night,Ernest R. Dickerson,6.4
December 7th,John Ford,6.1
December 7th,Gregg Toland,6.1
Cherry Crush,Nicholas DiBella,5.5
(A)sexual,Angela Tucker,6.0
Big Bang,unknown,6.7
Imprint,Michael Linn,5.7
Affluenza,Kevin Asch,4.7
Miso Hungry,Tim Delmastro,7.1
Night of Fear,Terry Bourke,5.9
Bad Blood: A Cautionary Tale,Marilyn Ness,8.1
Goodbye Love,H. Bruce Humberstone,5.6
Apache Woman,Giorgio Mariuzzo,5.2
Tart,Christina Wayne,4.7
Little Mermaid,Roxie Blum,4.1
Little Mermaid,Matt Martin,4.1
Eyes of the Mothman,Matthew J. Pellowski,6.3
Soda Springs,Michael Feifer,6.1
Pacific Warriors,James Marquand,7.3
Criminally Insane,Nick Millard,5.7
The Sixth Man: Bluesanity,Jason Epperson,8.6
Murders in the Rue Morgue,Robert Florey,5.2
Blackmark,A.J. Martinson,4.4
Needle Through Brick,Patrick Daly,8.1
Dominion,unknown,3.4
Savage Sisters,Eddie Romero,5.0
"Surprise, Surprise",Jerry Turner,5.0
"Out of Mind, Out of Sight",John Kastner,7.2
The Corpse Grinders,Ted V. Mikels,4.0
Punk's Dead: SLC Punk 2,James Merendino,4.8
Wives Under Suspicion,James Whale,6.2
The Pit,unknown,6.4
Ava's Impossible Things,Marina Rice Bader,3.7
Warriors of the Year 2072,Lucio Fulci,4.9
Who Gets the Dog?,Huck Botko,4.9
Agent of Influence,Michel Poulette,6.4
The Unbookables,Jeff Pearson,6.8
Fray,Geoff Ryan,6.1
Subira,Ravneet Sippy Chadha,4.7
The Wicked Gift,Roberto D'Antona,5.5
Dam Street,Yu Li,6.9
Fatal Trust,Philippe Gagnon,5.3
A Good Night to Die,Craig Singer,4.8
Albert Schweitzer,Gavin Millar,5.9
Wicked Blood,Mark Young,5.4
Ordinary People,Robert Redford,6.1
Amnesiac,Michael Polish,4.3
True Appaloosa,Conor Woodman,8.1
Coach,unknown,5.4
Dirty O'Neil,Leon Capetanos,5.5
Dirty O'Neil,Lewis Teague,5.5
Deep Powder,Mo Ogrodnik,5.7
The Serpent's Kiss,Philippe Rousselot,5.7
Welcome To Macintosh,Robert Baca,6.2
Welcome To Macintosh,Josh Rizzo,6.2
The Jodorowsky Constellation,Louis Mouchet,6.8
Picking Up the Pieces,Alfonso Arau,4.8
Wren Boys,Harry Lighton,7.0
Budo: The Art of Killing,Masayoshi Nemoto,7.2
Run to Me,Philippe Gagnon,5.1
The Lost Coast,Gabriel Fleming,4.8
The Perfect Gift,Jefferson Moore,7.0
A Norml Life,Rod Pitman,6.6
My Lonely Me,Joe Scott,7.8
The Hoarder,Matt Winn,4.5
Wildflower,Diane Keaton,5.2
Before I Die,Peter Bogdanovich,5.7
Wild Life,Art Linson,6.4
Dirty Wolves,Simón Casal,5.7
The Daredevils,Cheh Chang,6.1
Queerama,Daisy Asquith,6.4
Quaker Oaths,Louisiana Kreutz,7.3
The Engagement Ring,Steven Schachter,6.4
The Philly Kid,Jason Connery,5.7
The Cat in the Hat Knows a Lot About Christmas!,Tony Collingwood,5.3
The Cat in the Hat Knows a Lot About Christmas!,Steve Neilson,5.3
Ctrl Alt Delete,James B. Cox,6.1
Clancy Street Boys,William Beaudine,6.0
Ek Vivaah Aisa Bhi,Kaushik Ghatak,5.3
The Anarchists,Elie Wajeman,5.7
Bottled Up: The Battle over Dublin Dr. Pepper,Drew Rist,7.0
The Rise & Fall of Penn Station,Randall MacLowry,7.8
Fire City: End of Days,Tom Woodruff Jr.,4.9
Not Since You,Jeff Stephenson,5.5
Rise of the Fellowship,Ron Newcomb,4.2
The Mother of Invention,Andrew Bowser,6.3
The Mother of Invention,Joseph M. Petrick,6.3
The Haunting of Sorority Row,Bert Kish,4.8
The Identity Theft of Mitch Mustain,Matthew Wolfe,6.4
British Intelligence,Terry O. Morse,6.1
Crafted,Morgan Spurlock,7.5
The Klansman,Terence Young,5.2
Get the Picture,Cathy Pearson,8.0
Something to Scream About,Jason Paul Collum,6.2
Buffed Up,Jenny Steele,5.902751
From Inside,John Bergin,6.2
Can't You Hear the Wind Howl? The Life & Music of Robert Johnson,Peter Meyer,7.3
Marry Us for Christmas,Drew Powell,6.4
Born to Win,Ivan Passer,5.5
The Ambassador's Daughter,unknown,6.0
Hackney's Finest,Chris Bouchard,4.6
A Baby for Christmas,Rhonda Baraka,6.4
Island of the Fishmen,Sergio Martino,5.1
Circus of Fear,Werner Jacobs,5.4
Circus of Fear,John Llewellyn Moxey,5.4
While We Live,Mehdi Avaz,6.9
Indescribable,Stacie Graber,6.9
Arrowhead,Jesse O'Brien,4.4
The Caretaker,Clive Donner,4.1
Charlie Chan in the Secret Service,Phil Rosen,6.5
Raju Gari Gadhi 2,Omkar,5.3
The Mind Snatchers,Bernard Girard,5.6
Eat,Jimmy Weber,5.0
Russell Brand: End the Drugs War,Ross Wilson,7.2
The Boy from Geita,Vic Sarin,7.3
Enemy of the Reich: The Noor Inayat Khan Story,Robert H. Gardner,7.3
Janapar,James W. Newton,7.1
Janapar,Tom Allen,7.1
Poultry in Motion: Truth Is Stranger Than Chicken,Andrew Deemer,8.0
Poultry in Motion: Truth Is Stranger Than Chicken,Jason Foulke,8.0
Last Shop Standing,Pip Piper,7.1
Carnival Story,Kurt Neumann,5.7
Ghosts of the West: The End of the Bonanza Trail,Ethan S. Knightchilde,8.4
That's the Way of the World,Sig Shore,6.1
Island of Death,Narciso Ibáñez Serrador,5.1
Boggy Creek Monster,Seth Breedlove,5.9
Arbor Demon,Patrick Rea,4.1
Lavalantula,Mike Mendez,4.5
Ninja Wars,Kôsei Saitô,5.8
Uncle Brian,Nick McAnulty,6.5
Sonic Christmas Blast,Blair Peters,5.6
"Hans Brinker, or the Silver Skates",Sidney Lumet,7.7
"Hans Brinker, or the Silver Skates",George Schaefer,7.7
The One Armed Swordsmen,David Chiang,6.2
The One Armed Swordsmen,Jimmy Wang Yu,6.2
Long Nights Short Mornings,Chadd Harbold,5.4
The Rift,Juan Piquer Simón,4.7
Misa's Fugue,Sean D. Gaston,7.3
Autopsy 8: Dead Giveaway,Arthur Ginsberg,7.8
Aleksandr's Price,Pau Masó,4.9
Aleksandr's Price,David Damen,4.9
Edge of Isolation,Jeff Houkal,3.3
The Clown at Midnight,Jean Pellerin,5.2
7-Man Army,Cheh Chang,6.1
The Undertaker,Frank Avianca,5.0
The Undertaker,Steve Bono,5.0
The Undertaker,Richard E. Brooks,5.0
The Undertaker,William James Kennedy,5.0
"George Lopez: Tall, Dark & Chicano",Marty Callner,5.4
Streetballers,Matt Krentz,5.6
Nightbeast,Don Dohler,4.0
Nightbeast,Dave Geatty,4.0
Shed No Tears,Måns Mårlind,6.4
Shed No Tears,Björn Stein,6.4
Son of Sofia,Elina Psykou,6.2
The Hollow One,Nathan Hendrickson,3.8
Life with Murder,John Kastner,6.9
The Attic Expeditions,Jeremy Kasten,5.0
The Happy House,D.W. Young,4.4
Midnight Movie,Jack Messitt,5.1
100 Blocks,Diaunte Thompson,7.5
The Test,Jeremy Saville,6.1
El Crazy Che,Pablo Chehebar,7.2
El Crazy Che,Nicolás Iacouzzi,7.2
Lake Eerie,Chris Majors,4.8
Blood Relative,Todd Alcott,8.4
Blackfly,unknown,6.5
I Belonged to You,Yibai Zhang,5.4
Sweet Home Carolina,Charlie Vaughn,5.5
Sagebrush Trail,Armand Schaefer,5.4
21 Days,Basil Dean,6.1
I Am Here,Anders Morgenthaler,5.0
Lincoln@Gettysburg,William Kerr,8.4
Lincoln@Gettysburg,Peter Schnall,8.4
Bloodwork,Eric Wostenberg,5.2
Silent Trigger,Russell Mulcahy,5.5
Curse of the Witch's Doll,Lawrence Fowler,3.2
The Beatles: A Celebration,Mark Devito,6.3
The Beatles: A Celebration,Geoffrey Giuliano,6.3
Jack Reed: One of Our Own,Brian Dennehy,6.3
Bob the Drag Queen: Suspiciously Large Woman,Cheyenne Picardo,6.0
The Butch Factor,Christopher Hines,6.0
A Connecticut Yankee in King Arthur's Court,Tay Garnett,4.8
Sex After Kids,Jeremy LaLonde,5.4
I Can I Will I Did,Nadine Truong,6.9
Bangkok Revenge,Prachya Pinkaew,4.8
Black Circle Boys,Matthew Carnahan,4.9
Australien Skies,Don Meers,4.9
Lil Rel: RELevent,Rich Schlansker,5.9
Lil Rel: RELevent,Royale Watkins,5.9
Facing Mecca,Jan-Eric Mack,8.2
Spirit Camp,Kerry Beyer,4.7
"Please, Please Me!",Emmanuel Mouret,6.4
Stephen Fry Live: More Fool Me,unknown,6.5
Strange Invaders,Michael Laughlin,6.5
9/11 Inside the Pentagon,Sharon Petzold,7.1
Killer Camera Monsters,Ryan McBay,2.5
The Admiral Was a Lady,Albert S. Rogell,5.9
The Flight That Disappeared,Reginald Le Borg,5.6
Camilla Dickinson,Cornelia Duryée,5.6
More Than Frybread,Travis Holt Hamilton,7.9
Losers Take All,Alex Steyermark,6.4
Grace Kelly: The American Princess,Gene Feldman,6.9
Grace Kelly: The American Princess,Suzette Winter,6.9
Capture Kill Release,Nick McAnulty,5.1
Capture Kill Release,Brian Allan Stewart,5.1
Gharana Mogudu,K. Raghavendra Rao,7.3
My Guardian Angel,Mumtaz Yildirimlar,4.7
Dishonored Lady,Robert Stevenson,6.5
88,Jon Avnet,5.0
The Silent Enemy,William Fairchild,6.6
The Lady Refuses,George Archainbaud,6.0
Sleepwalking Land,Teresa Prata,6.8
My Last Love,Michael Schultz,6.9
Rising Tides,Jeff West Jr.,7.0
The O'Briens,Richard Waters,6.7
The O'Briens,Emma Gahan,6.7
Ek Niranjan,Puri Jagannadh,5.2
Dirty Movie,Jerry Daigle,3.0
Dirty Movie,Christopher Meloni,3.0
Casanova Brown,Sam Wood,6.3
The Age of Blood,Hong-sun Kim,5.9
Mr. Rock n Roll: The Alan Freed Story,Andy Wolk,6.4
Autopsy,André Øvredal,5.9
A Long Way From Home,Virginia Gilbert,5.4
Devo: Hardcore Live!,Keirda Bahruth,8.7
Mr. What,Shaun Maki,6.2
Assisted Fishing,Joe Crouch,7.8
Banana in a Nutshell,Roseanne Liang,6.1
A New High,Samuel Miron,7.3
A New High,Stephen Scott Scarpulla,7.3
The Deal,Steven Schachter,5.6
Heroes Two,Cheh Chang,6.5
Hunting Grounds,John Portanova,3.6
"Shoot, Gringo... Shoot!",Bruno Corbucci,5.9
Are You in the House Alone?,Walter Grauman,5.6
Lucky Stiff,Anthony Perkins,5.3
Seven Deaths in the Cat's Eye,Antonio Margheriti,5.9
The Wedding Invitation,Rainy Kerwin,4.4
Reflections of Evil,Damon Packard,6.5
Ghosting,Theresa Bennett,5.0
The Slowest Gun in the West,Herschel Daugherty,6.9
Fallacy,Martin Jablonski,5.8
Ghosthouse,Umberto Lenzi,4.8
The Beat Hotel,Alan Govenar,6.5
No Beast So Fierce,Ulu Grosbard,5.6
No Beast So Fierce,Dustin Hoffman,5.6
Stranger in Our House,Wes Craven,5.5
Dangerous Edge: A Life of Graham Greene,Thomas P. O'Connor,7.7
High Society: A Pot Boiler,Kristian Davies,6.5
1st Strike,David Llauger Meiselman,4.7
Aatagadharaa Siva,Chandra Siddhartha,7.3
Platinum the Dance Movie,Alex Di Marco,4.6
Atone,Wes Miller,3.0
Diana Krall - Live in Rio,David Barnard,8.2
Breaking Legs,Mark Marchillo,4.2
Fear in the Night,Jimmy Sangster,6.4
A Fine Step,Jonathan Meyers,5.3
The Price Of Fame,unknown,5.9
The Good Life,unknown,6.7
Brian Posehn: The Fartist,Jay Chapman,6.5
Forest of the Dancing Spirits,Linda Västrik,7.5
Hide and Creep,Chuck Hartsell,4.8
Hide and Creep,Chance Shirley,4.8
Chance of a Lifetime,Deborah Reinisch,6.9
Reach for Me,LeVar Burton,6.5
Pilgrim Song,Martha Stephens,7.4
The Ghost Galleon,Amando de Ossorio,4.6
After the Fall,Bradford May,5.1
Rhinos,Shimmy Marcus,7.1
A Dangerous Place,Jerry P. Jacobs,5.5
My Favorite Five,Paul D. Hannah,5.4
Leftovers,Seth Hancock,5.902751
Second Chorus,H.C. Potter,5.8
Little Crumb,Maria Peters,6.1
Charge Over You,Regardt Steenekamp,6.5
Martian Land,Scott Wheeler,2.3
Autopsy 9: Dead Awakening,Arthur Ginsberg,7.7
Freedom Road,Ján Kadár,5.4
The Kitchen,Andrea Berloff,5.0
Megha,Karthick Rishi,5.4
Illicit Behavior,Worth Keeter,5.0
Primo,Richard Wilson,7.4
The Best of Laurel and Hardy,James L. Wolcott,7.1
Faraway,Randal Kamradt,5.0
Bride of the Gorilla,Curt Siodmak,4.4
Someone Else,Col Spector,5.7
Brothers of War,Mike Carter,4.6
The Race Underground,Michael Rossi,7.1
Classic Albums: John Lennon - Plastic Ono Band,Matthew Longfellow,6.8
D.L. Hughley: Going Home,Keith Truesdell,7.2
The Night Before Christmas,Lloyd Bacon,6.4
"Liars, Fires and Bears",Jeremy Cloe,6.4
Finding Hillywood,Chris Towey,8.2
Finding Hillywood,Leah Warshawski,8.2
The Sword Stained with Royal Blood,Cheh Chang,6.7
Future World,James Franco,3.2
Future World,Bruce Thierry Cheung,3.2
Living Dark: The Story of Ted the Caver,David L. Hunt,5.1
Catch the Wind,Jan de Bont,6.4
A Wonderful Cloud,Eugene Kotlyarenko,6.2
The New Adventures of Peter Rabbit,Diane Eskenazi,5.3
The Park Bench,Ann LeSchander,6.5
Appointment in Honduras,Jacques Tourneur,5.7
California Dreaming,John D. Hancock,6.0
Brackenmore,Chris Kemble,4.2
Brackenmore,J.P. Davidson,4.2
Love Is Thicker Than Water,Ate de Jong,5.7
Love Is Thicker Than Water,Emily Harris,5.7
Death and Texas,Kevin DiNovis,5.9
Resistance Movement,Kathryn Lee Moss,6.3
Summer Solstice,Michal Rogalski,6.2
Wacko,Greydon Clark,4.8
Tulsa,Stuart Heisler,6.2
Bryan Callen: Never Grow Up,John Brenkus,6.9
Fireman Sam: Heroes of the Storm,Gary Andrews,5.7
Bernadette,Richard Linklater,8.2
Brief Encounter,David Lean,5.3
Heart Attack,Nawapol Thamrongrattanarit,5.3
Jungle Shuffle,Taedong Park,4.7
Jungle Shuffle,Mauricio De la Orta,4.7
Victoria's Shadow,Grant Austin Waldman,6.7
Big Muddy,Matt Shapira,4.9
Passion Play,Mitch Glazer,4.6
Absinthe,Élie Chouraqui,6.8
The Aviation Cocktail,David R. Higgins,5.2
Franklin's Magic Christmas,John Van Bruggen,6.8
My First Love,unknown,6.4
Don't Click,Tae-kyeong Kim,4.7
"Blackbeard, the Pirate",Raoul Walsh,6.1
Hello I Love You,Spanky Dustin Ward,5.6
Bowery at Midnight,Wallace Fox,5.3
Love Birds,Dover Koshashvili,6.0
I Am I,Jocelyn Towne,5.7
Losing In Love,Martin Papazian,6.8
Jaya Janaki Nayaka,Boyapati Srinu,5.1
A Haunting on Hamilton Street 2: The Stable,Steven 'Prozak' Shippy,6.0
"Twelfth Night, or What You Will",unknown,6.4
"20,000 Leagues Under the Sea",Richard Fleischer,5.0
Arizona Seaside,Jens Pilegaard,6.9
A Time to Remember,John Putch,2.8
All's Faire in Love,Scott Marshall,5.0
Alpha and Omega: Family Vacation,Kyung Duk Kim,4.8
Alpha and Omega: Family Vacation,Richard Rich,4.8
ETs Among Us: UFO Witnesses and Whistleblowers,Cybela Clare,7.4
The Gay Deceivers,Bruce Kessler,5.8
Zombie Apocalypse,Nick Lyon,4.0
Naaigal Jaakirathai,Shakti Soundar Rajan,6.2
Stalked by My Doctor: The Return,Doug Campbell,5.7
Invasion of the Space Preachers,Daniel Boyd,4.4
Legend of the Lost,Henry Hathaway,6.1
To the Beat,unknown,4.7
Gun Woman,Kurando Mitsutake,4.7
Uniform,Yi'nan Diao,6.4
Mr In-Between,Paul Sarossy,6.4
Top of the Heap,unknown,6.5
American Backwoods: Slew Hampshire,Flood Reed,4.4
How to Beat a Bully,Doug Bilitch,5.4
ClownTown,Tom Nagel,3.8
Down Three Dark Streets,Arnold Laven,6.7
8 Assassins,Said C. Naciri,4.7
The Road Uphill,Jean-Louis Schuller,7.5
Sleeping Giant: An Indian Football Story,Daniel Glynn,8.7
3 of a Kind,Greg Green,4.7
Do You Know Me,Penelope Buitenhuis,4.8
When Harry Tries to Marry,Nayan Padrai,4.6
Every Child,Eugene Fedorenko,6.5
Nene Raju Nene Mantri,Teja,5.8
Ushijima the Loan Shark Part 2,Masatoshi Yamaguchi,6.8
Eat My Dust,Charles B. Griffith,5.5
Karma,John Curran,6.6
Brittown,Zack Coffman,8.5
Brittown,Scott Di Lalla,8.5
Thirsty,Guru Dutt,7.2
Lake of Dracula,Michio Yamamoto,6.2
"Easy to Learn, Hard to Master: The Fate of Atari",Tomaso Walliser,6.4
Frozen Silence,Gerardo Herrero,5.8
Capps Crossing,Mike Stahl,4.2
Gold,Stephen Gaghan,5.7
Death on a Factory Farm,Tom Simon,7.5
Death on a Factory Farm,Sarah Teale,7.5
The Lion of Judah,Deryck Broom,3.4
The Lion of Judah,Roger Hawkins,3.4
Bob Mould: Circle of Friends,unknown,7.5
Gallagher: the Bookkeeper,Joe Hostettler,8.1
A Daughter's Nightmare,Vic Sarin,5.8
Klansville U.S.A.,Callie T. Wiser,7.1
Tear Me Apart,Alex Lightman,4.5
2 Night,Roi Werner,7.2
Top Ten Monks,Dana Heinz Perry,6.7
The Only Thrill,Peter Masterson,6.1
Hitler's Britain,Richard Bond,6.5
