Title,Directors,IMDb
The Fundamentals of Caring,Rob Burnett,7.3
Insidious,James Wan,6.8
Bill Burr: Paper Tiger,Mike Binder,8.2
Bad Boys,Michael Bay,6.9
The Foreigner,Martin Campbell,7.0
The Danish Girl,Tom Hooper,7.1
The Girl with All the Gifts,Colm McCarthy,6.6
Bird Box,Susanne Bier,6.6
The Ring,Gore Verbinski,7.1
Hostiles,Scott Cooper,7.2
Sairat,Nagraj Manjule,8.3
Trumbo,Jay Roach,7.5
LA 92,Daniel Lindsay,8.2
LA 92,T.J. Martin,8.2
20th Century Women,Mike Mills,7.3
Kal Ho Naa Ho,Nikkhil Advani,8.0
Swiss Army Man,Dan Kwan,7.0
Swiss Army Man,Daniel Scheinert,7.0
In This Corner of the World,Sunao Katabuchi,7.8
A Ghost Story,David Lowery,6.9
United 93,Paul Greengrass,7.5
Patriot Games,Phillip Noyce,6.9
The Secret Life of Pets 2,Chris Renaud,6.5
The Secret Life of Pets 2,Jonathan del Val,6.5
Hitch,Andy Tennant,6.6
The Young Offenders,unknown,7.1
Enemy,Denis Villeneuve,6.9
Mirage,Oriol Paulo,7.4
Everybody's Everything,Sebastian Jones,7.4
Everybody's Everything,Ramez Silyan,7.4
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,6.1
The Guernsey Literary & Potato Peel Pie Society,Mike Newell,7.4
I Don't Feel at Home in This World Anymore,Macon Blair,6.9
The Endless,Justin Benson,6.5
The Endless,Aaron Moorhead,6.5
Julie & Julia,Nora Ephron,7.0
The Game Changers,Louie Psihoyos,7.9
Under the Shadow,Babak Anvari,6.9
Angel Has Fallen,Ric Roman Waugh,6.4
Kon-Tiki,Joachim Rønning,7.2
Kon-Tiki,Espen Sandberg,7.2
Mary Poppins Returns,Rob Marshall,6.7
Kajaki,Paul Katis,7.1
The Fear of 13,David Sington,7.7
The Night Comes for Us,Timo Tjahjanto,7.0
Blood Father,Jean-François Richet,6.4
Stree,Amar Kaushik,7.6
American Factory,Steven Bognar,7.4
American Factory,Julia Reichert,7.4
Code 8,Jeff Chan,6.1
Salt,Phillip Noyce,6.4
The Hundred-Foot Journey,Lasse Hallström,7.3
The Distinguished Citizen,Gastón Duprat,7.5
The Distinguished Citizen,Mariano Cohn,7.5
Scooby-Doo on Zombie Island,Hiroshi Aoyama,7.8
Scooby-Doo on Zombie Island,Kazumi Fukushima,7.8
Scooby-Doo on Zombie Island,Jim Stenstrum,7.8
Chasing Coral,Jeff Orlowski,8.1
The End of the Tour,James Ponsoldt,7.3
The One I Love,Charlie McDowell,7.1
Underworld,Len Wiseman,7.0
The Death of Mr. Lazarescu,Cristi Puiu,7.9
Madagascar: Escape 2 Africa,Eric Darnell,6.6
Madagascar: Escape 2 Africa,Tom McGrath,6.6
The Wolf's Call,Antonin Baudry,6.9
What Happened to Monday,Tommy Wirkola,6.9
The Willoughbys,Kris Pearn,6.4
The Willoughbys,Cory Evans,6.4
The Willoughbys,Rob Lodermeier,6.4
The White Helmets,Orlando von Einsiedel,7.5
Suburra,unknown,7.4
The Matrix Revolutions,Lana Wachowski,6.8
The Matrix Revolutions,Lilly Wachowski,6.8
Richard Pryor: Live in Concert,Jeff Margolis,8.2
Austin Powers: The Spy Who Shagged Me,Jay Roach,6.6
Get Him to the Greek,Nicholas Stoller,6.4
Slow West,John Maclean,6.9
The Meyerowitz Stories (New and Selected),Noah Baumbach,6.9
The Battered Bastards of Baseball,Chapman Way,8.0
The Battered Bastards of Baseball,Maclain Way,8.0
The Perfection,Richard Shepard,6.1
Ip Man 3,Wilson Yip,7.1
Sinister,Scott Derrickson,6.8
Rush: Beyond the Lighted Stage,Sam Dunn,8.4
Rush: Beyond the Lighted Stage,Scot McFadyen,8.4
20 Feet from Stardom,Morgan Neville,7.4
The Stanford Prison Experiment,Kyle Patrick Alvarez,6.9
My Week with Marilyn,Simon Curtis,7.0
Catfish,Henry Joost,7.1
Catfish,Ariel Schulman,7.1
Secret Superstar,Advait Chandan,7.9
Private Life,Tamara Jenkins,7.2
Jarhead,Sam Mendes,7.0
Yes Man,Peyton Reed,6.8
For the Love of Spock,Adam Nimoy,7.6
Goon,Michael Dowse,6.8
Ace Ventura: Pet Detective,Tom Shadyac,6.9
Inequality for All,Jacob Kornbluth,8.0
Olympus Has Fallen,Antoine Fuqua,6.5
Dave Chappelle: Sticks & Stones,Stan Lathan,8.5
John Mulaney: Kid Gorgeous at Radio City,Alex Timbers,7.9
