Title,Language,IMDb
A Serious Man,Hebrew,7.0
The King,English,7.2
The King,French,7.2
The Breadwinner,English,7.7
The Boy Who Harnessed the Wind,Arabic,7.6
The Boy Who Harnessed the Wind,Nyanja,7.6
The Boy Who Harnessed the Wind,English,7.6
Article 15,Hindi,8.3
The Killing of a Sacred Deer,English,7.0
The Killing of a Sacred Deer,French,7.0
Lawless,English,7.3
Kabhi Khushi Kabhie Gham,Hindi,7.4
Kabhi Khushi Kabhie Gham,English,7.4
Charlie and the Chocolate Factory,English,6.6
Freaks,English,6.7
Hannah Gadsby: Nanette,English,8.2
The Mask of Zorro,English,6.7
The Natural,English,7.5
Equilibrium,English,7.4
Arthur Christmas,English,7.1
The Rainmaker,English,7.2
Winter on Fire: Ukraine's Fight for Freedom,Ukrainian,8.4
Winter on Fire: Ukraine's Fight for Freedom,Russian,8.4
Winter on Fire: Ukraine's Fight for Freedom,English,8.4
Always Be My Maybe,English,6.8
The Crying Game,English,7.2
War Horse,English,7.2
War Horse,German,7.2
Shot Caller,English,7.3
The Invitation,English,6.6
A Most Violent Year,English,7.0
A Most Violent Year,Spanish,7.0
The Other Guys,English,6.6
The Other Guys,Ukrainian,6.6
Kapoor & Sons,Hindi,7.7
On Body and Soul,Hungarian,7.6
The Fundamentals of Caring,English,7.3
Insidious,English,6.8
Bill Burr: Paper Tiger,English,8.2
Bad Boys,English,6.9
The Foreigner,English,7.0
The Foreigner,Mandarin,7.0
The Danish Girl,English,7.1
The Danish Girl,French,7.1
The Danish Girl,German,7.1
The Girl with All the Gifts,English,6.6
Bird Box,English,6.6
The Ring,English,7.1
Hostiles,English,7.2
Hostiles,Cheyenne,7.2
Hostiles,French,7.2
Sairat,Marathi,8.3
Trumbo,English,7.5
LA 92,English,8.2
LA 92,Korean,8.2
20th Century Women,English,7.3
Kal Ho Naa Ho,Hindi,8.0
Swiss Army Man,English,7.0
In This Corner of the World,Japanese,7.8
A Ghost Story,English,6.9
A Ghost Story,Spanish,6.9
United 93,English,7.5
United 93,Arabic,7.5
United 93,German,7.5
Patriot Games,English,6.9
The Secret Life of Pets 2,English,6.5
Hitch,English,6.6
The Young Offenders,English,7.1
Enemy,English,6.9
Mirage,Spanish,7.4
Everybody's Everything,English,7.4
Indiana Jones and the Kingdom of the Crystal Skull,English,6.1
Indiana Jones and the Kingdom of the Crystal Skull,German,6.1
Indiana Jones and the Kingdom of the Crystal Skull,Russian,6.1
The Guernsey Literary & Potato Peel Pie Society,English,7.4
The Guernsey Literary & Potato Peel Pie Society,German,7.4
The Guernsey Literary & Potato Peel Pie Society,French,7.4
I Don't Feel at Home in This World Anymore,English,6.9
The Endless,English,6.5
Julie & Julia,English,7.0
Julie & Julia,French,7.0
The Game Changers,English,7.9
Under the Shadow,Persian,6.9
Angel Has Fallen,English,6.4
Kon-Tiki,Norwegian,7.2
Kon-Tiki,English,7.2
Kon-Tiki,French,7.2
Kon-Tiki,Swedish,7.2
Mary Poppins Returns,English,6.7
Kajaki,English,7.1
The Fear of 13,English,7.7
The Night Comes for Us,Indonesian,7.0
The Night Comes for Us,English,7.0
The Night Comes for Us,Mandarin,7.0
The Night Comes for Us,French,7.0
Blood Father,English,6.4
Blood Father,Spanish,6.4
Stree,Hindi,7.6
American Factory,English,7.4
American Factory,Mandarin,7.4
Code 8,English,6.1
Salt,English,6.4
Salt,Russian,6.4
Salt,Korean,6.4
The Hundred-Foot Journey,English,7.3
The Hundred-Foot Journey,French,7.3
The Distinguished Citizen,Spanish,7.5
Scooby-Doo on Zombie Island,English,7.8
Chasing Coral,English,8.1
The End of the Tour,English,7.3
The One I Love,English,7.1
Underworld,English,7.0
The Death of Mr. Lazarescu,Romanian,7.9
Madagascar: Escape 2 Africa,English,6.6
Madagascar: Escape 2 Africa,Italian,6.6
The Wolf's Call,French,6.9
What Happened to Monday,English,6.9
The Willoughbys,English,6.4
The White Helmets,Arabic,7.5
The White Helmets,English,7.5
Suburra,Italian,7.4
The Matrix Revolutions,English,6.8
The Matrix Revolutions,French,6.8
Richard Pryor: Live in Concert,English,8.2
Austin Powers: The Spy Who Shagged Me,English,6.6
Austin Powers: The Spy Who Shagged Me,German,6.6
Get Him to the Greek,English,6.4
Slow West,English,6.9
Slow West,French,6.9
The Meyerowitz Stories (New and Selected),English,6.9
The Battered Bastards of Baseball,English,8.0
The Perfection,English,6.1
Ip Man 3,Cantonese,7.1
Ip Man 3,English,7.1
Sinister,English,6.8
Rush: Beyond the Lighted Stage,English,8.4
20 Feet from Stardom,English,7.4
20 Feet from Stardom,Spanish,7.4
The Stanford Prison Experiment,English,6.9
My Week with Marilyn,English,7.0
My Week with Marilyn,French,7.0
Catfish,English,7.1
Secret Superstar,Hindi,7.9
Private Life,English,7.2
Jarhead,English,7.0
Jarhead,Spanish,7.0
Jarhead,Arabic,7.0
Jarhead,Latin,7.0
Yes Man,English,6.8
Yes Man,Korean,6.8
Yes Man,Estonian,6.8
For the Love of Spock,English,7.6
Goon,English,6.8
Goon,French,6.8
Ace Ventura: Pet Detective,English,6.9
Inequality for All,English,8.0
Olympus Has Fallen,English,6.5
Olympus Has Fallen,Korean,6.5
Dave Chappelle: Sticks & Stones,English,8.5
John Mulaney: Kid Gorgeous at Radio City,English,7.9
La Bamba,English,6.9
La Bamba,Spanish,6.9
Public Enemies,English,7.0
Supersonic,English,7.9
The Edge of Democracy,Portuguese,7.1
The Edge of Democracy,English,7.1
The Polar Express,English,6.6
Under the Skin,English,6.3
Crip Camp: A Disability Revolution,English,7.8
Tell Me Who I Am,English,7.6
Hey Arnold! The Jungle Movie,English,7.6
Hey Arnold! The Jungle Movie,Korean,7.6
Zack and Miri Make a Porno,English,6.5
The Score,English,6.8
The Score,French,6.8
Hamburger Hill,English,6.7
Hamburger Hill,French,6.7
9,English,7.1
Undefeated,English,7.7
Team Foxcatcher,English,7.3
A Shaun the Sheep Movie: Farmageddon,English,6.9
April and the Extraordinary World,French,7.3
The Highwaymen,English,6.9
The Highwaymen,Spanish,6.9
Legend,English,6.9
Boy & the World,Portuguese,7.6
Creep 2,English,6.4
